Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
PS LINHA TN 14 URUPA,2744244,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA TN 14,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744244&VEstado=11&VCodMunicipio=110170,1101702744244,11,110170,53ff407789f4ef2034493aba
LABORATORIO E CLINICA URUPA,6481809,02988535000148,MOULAZ E GODINHO LTDA,--,JURÍDICA,RUA MOISEIS RODRIGUES,1678,,,NOVO HORIZONTE,76929000,URUPA - IBGE - 110170,RO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,150/2010,SMS,05/04/2010,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101706481809&VEstado=11&VCodMunicipio=110170,1101706481809,11,110170,53ff407789f4ef2034493abb
LABORATORIO CAFEUP,7369581,18243827000191,LABORATORIO CAFEUP DE URUPA LTDA ME,--,JURÍDICA,AV MOACIR DE PAULA VIEIRA,1833,,,CENTRO,76929000,URUPA - IBGE - 110170,RO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,MUNICIPAL,FUNDACAO PRIVADA,INDIVIDUAL,13490,SMS,30/07/2013,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101707369581&VEstado=11&VCodMunicipio=110170,1101707369581,11,110170,53ff407889f4ef2034493abc
LABORATORIO GALENO URUPA,2515717,02988535000148,CENTRO DE PESQUISA PRONTO ANALISE LTDA,--,JURÍDICA,AVN NORTE,3972,(69)4132528,,CENTRO,78955000,URUPA - IBGE - 110170,RO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,ESTADUAL,EMPRESA PRIVADA,INDIVIDUAL,037/03,SMS,28/04/2003,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702515717&VEstado=11&VCodMunicipio=110170,1101702515717,11,110170,53ff407889f4ef2034493abd
HOSPITAL MUNICIPAL DE URUPA,2743612,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,AV MOACIR DE PAULA VIEIRA,3315,(69)4132525,,CENTRO,76929000,URUPA - IBGE - 110170,RO,UNIDADE MISTA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702743612&VEstado=11&VCodMunicipio=110170,1101702743612,11,110170,53ff407889f4ef2034493abe
MASTER CLINICA,6216080,08970860000160,GODINHO E GODINHO LTDA ME,--,JURÍDICA,RUA MOISEIS RODRIGUES,1736,,,NOVO HORIZONTE,76929000,URUPA - IBGE - 110170,RO,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,8450,SMS,09/06/2008,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101706216080&VEstado=11&VCodMunicipio=110170,1101706216080,11,110170,53ff407989f4ef2034493abf
PS LINHA C 003 URUPA,2744015,,PREFEITURA MUNICIPAL DE URUPA,--,JURÍDICA,LINHA C 03,S/N,,,ZONA RURAL,78955000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101702744015&VEstado=11&VCodMunicipio=110170,1101702744015,11,110170,53ff407989f4ef2034493ac0
ASSOCIACAO BENEFICENTE SAUDE DA FAMILIA URUPA,5039401,03445978000660,ASSOCIACAO BENEFICENTE SAUDE DA FAMILIA,--,JURÍDICA,AV MOACIR DE PAULA VIEIRA,3467,,,CENTRO,78955000,URUPA - IBGE - 110170,RO,CLINICA/CENTRO DE ESPECIALIDADE,,PRIVADA,ESTADUAL,ENTIDADE BENEFICENTE SEM FINS LUCRATIVOS,MANTIDA,000079,SMS,04/04/2005,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101705039401&VEstado=11&VCodMunicipio=110170,1101705039401,11,110170,53ff407989f4ef2034493ac1
VILHEMED,7530358,19624373000161,VILHEMED SERVICOS MEDICOS HOSPITALARES EIRELI ME,--,JURÍDICA,VILHEMED,4119,,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307530358&VEstado=11&VCodMunicipio=110030,1100307530358,11,110030,53ff407989f4ef2034493ac2
VITALLE ODONTOLOGIA,6812112,,GESSICA CRISTINA COIMBRA RAVANELLO,--,FÍSICA,AVENIDA PARANA,1550,69 3322-8281,,ALTO ALEGRE,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,818/2011,SMS,06/10/2011,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306812112&VEstado=11&VCodMunicipio=110030,1100306812112,11,110030,53ff407989f4ef2034493ac3
POSTO SAUDE NOVA ALIANCA,7275994,,POSTO SAUDE NOVA ALIANCA,--,JURÍDICA,NUCLEO NOVA ALIANCA,S/N,,,ZONA RURAL,76929000,URUPA - IBGE - 110170,RO,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1101707275994&VEstado=11&VCodMunicipio=110170,1101707275994,11,110170,53ff407a89f4ef2034493ac4
VIDA SAUDAVEL,7220790,,DULCINEIA DE LOURDES KANOPP,--,FÍSICA,RUA AGEU BERNARDES,837,69 3322 7745,,JARDIM ELDORADO,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307220790&VEstado=11&VCodMunicipio=110030,1100307220790,11,110030,53ff407a89f4ef2034493ac5
UNIDADE BASICA DE SAUDE SETOR 19 CARLOS ROBERTO MAZALA,7483309,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,AVENIDA MATO GROSSO,S/N,(69) 3321-4338,QUADRA 54 SETOR 19,JARDIM DAS OLIVEIRAS,76980000,VILHENA - IBGE - 110030,RO,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307483309&VEstado=11&VCodMunicipio=110030,1100307483309,11,110030,53ff407a89f4ef2034493ac6
UNIMED VILHENA,6989187,01659087000176,UNIMED VILHENA COOPERATIVA DE TRABALHO,--,JURÍDICA,AVENIDA CAPITAO CASTRO,4376,,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,COOPERATIVA,,PRIVADA,MUNICIPAL,COOPERATIVA,INDIVIDUAL,,SMS,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306989187&VEstado=11&VCodMunicipio=110030,1100306989187,11,110030,53ff407b89f4ef2034493ac7
UNIDADE MOVEL MOTOHOME VILHENA,2496151,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,CENTRO ADMINISTRATIVO SENADOR TEOTONIO VILELA,S/N,,,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,UNIDADE MOVEL TERRESTRE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,493/2001,SMS,15/05/2001,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100302496151&VEstado=11&VCodMunicipio=110030,1100302496151,11,110030,53ff407b89f4ef2034493ac8
UNIDADE BASICA DE SAUDE JORGE TEIXEIRA DE OLIVEIRA,2784645,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,AVENIDA PRESIDENTE NASSER,423,,,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,122/2005,SMS,08/09/2005,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100302784645&VEstado=11&VCodMunicipio=110030,1100302784645,11,110030,53ff407b89f4ef2034493ac9
UNIDADE BASICA DE SAUDE CRISTO REI II,7389841,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,AVENIDA 1511,1282,,,CRISTO REI,76980000,VILHENA - IBGE - 110030,RO,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307389841&VEstado=11&VCodMunicipio=110030,1100307389841,11,110030,53ff407b89f4ef2034493aca
U T I PRO SALVA,6048811,10423584000161,E BITELLO BATISTA LTDA ME,--,JURÍDICA,RUA JOSE LUDWIG,306,69 3321 2094,SALA 01,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,523354/2013,SES,18/03/2013,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306048811&VEstado=11&VCodMunicipio=110030,1100306048811,11,110030,53ff407c89f4ef2034493acb
ULTRACLIN SERVICOS DE ULTRASSONOGRAFIA E CLINICA MEDICA,6074979,06251419000100,W GREGORIO PONTES,--,JURÍDICA,AV LIBERDADE,3010,33214510,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,182/2009,SES,25/03/2009,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306074979&VEstado=11&VCodMunicipio=110030,1100306074979,11,110030,53ff407c89f4ef2034493acc
U T I PRO SALVA,7458339,17679230000121,V L BATISTA CIA LTDA ME,--,JURÍDICA,RUA JOSE LUDWIG,306,(69) 8478-6199,SALA 01,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,SERVICO DE ATENCAO DOMICILIAR ISOLADO(HOME CARE),,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307458339&VEstado=11&VCodMunicipio=110030,1100307458339,11,110030,53ff407c89f4ef2034493acd
TOMOGRAFIA VILHENA LTDA,6459919,11185259000170,TOMOGRAFIA VILHENA LTDA,--,JURÍDICA,AVENIDA LIBERDADE,2792,69 3321-3124,SALA 05,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,0017,SES,13/02/2014,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306459919&VEstado=11&VCodMunicipio=110030,1100306459919,11,110030,53ff407c89f4ef2034493ace
ULTRAMED,6976379,14800801000146,ULTRAMED CONSULTORIO MEDICO LTDA ME,--,JURÍDICA,AVENIDA CAPITAO CASTRO,4428,69 33225737,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,035/2012,SMS,13/02/2012,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306976379&VEstado=11&VCodMunicipio=110030,1100306976379,11,110030,53ff407c89f4ef2034493acf
TERAPIAS NATURAIS,7312083,,JOSE ANTONIO PEREIRA NETO,--,FÍSICA,AVENIDA OCTAVIO JOSE DOS SANTOS,4012,69 8113-1382,,JARDIM DAS OLIVEIRAS,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307312083&VEstado=11&VCodMunicipio=110030,1100307312083,11,110030,53ff407d89f4ef2034493ad0
STUDIO LITIE FERREIRA,7480458,,LITIE SILVA FERREIRA,--,FÍSICA,AVENIDA MAJOR AMARANTE,4119,(69) 8436-3574,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307480458&VEstado=11&VCodMunicipio=110030,1100307480458,11,110030,53ff407d89f4ef2034493ad1
SORRISODONTO,6792472,,MARIA MIRALVA MELLO PEIXOTO FERREIRA,--,FÍSICA,AVENIDA PARANA,773,69 3322-9304,,JARDIM ELDORADO,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306792472&VEstado=11&VCodMunicipio=110030,1100306792472,11,110030,53ff407e89f4ef2034493ad2
SORRISO E CIA,6017169,07649328000182,CLINICA ODONTOLOGICA PICCOLI,--,JURÍDICA,AV LIBERDADE,4070,,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,175/2010,SMS,08/06/2010,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306017169&VEstado=11&VCodMunicipio=110030,1100306017169,11,110030,53ff407e89f4ef2034493ad3
SOMAR,6847110,,MARCELA SABINO DE CASTRO,--,FÍSICA,RUA DUQUE DE CAXIAS,259,69 3322-2199,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306847110&VEstado=11&VCodMunicipio=110030,1100306847110,11,110030,53ff407e89f4ef2034493ad4
SETOR DE IMUNIZACAO DE VILHENA,6963862,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,AVENIDA SABINO BEZERRA DE QUEIROZ,3920,69 3322-4170,SALA 07,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306963862&VEstado=11&VCodMunicipio=110030,1100306963862,11,110030,53ff407e89f4ef2034493ad5
SHEKINAH CENTRO MEDICO,3004619,34749630000185,SOCIEDADE MEDICA KITAWARA LTDA,--,JURÍDICA,RUA NELSON TREMEA,350,(69)3213056,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,506/2001,SES,17/04/2001,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100303004619&VEstado=11&VCodMunicipio=110030,1100303004619,11,110030,53ff407f89f4ef2034493ad6
SEST SERVICO SOCIAL DO TRANSPORTE,6268110,73471989006045,SEST SERVICO SOCIAL DO TRANSPORTE,--,JURÍDICA,AV CELSO MAZZUTI,6169,69 3322 -1050,POSTO PLANALTO,JARDIM ELDORADO,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,ENTIDADE BENEFICENTE SEM FINS LUCRATIVOS,INDIVIDUAL,199/2012,SMS,07/05/2012,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306268110&VEstado=11&VCodMunicipio=110030,1100306268110,11,110030,53ff407f89f4ef2034493ad7
SESMT SERVICO ESPECIALIZADO EM MEDICINA DO TRABALHO,7474652,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,CENTRO ADM SENADOR DR TEOTONIO VILELA,S/N,69 3321-4338,,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,CLINICA/CENTRO DE ESPECIALIDADE,OUTROS,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307474652&VEstado=11&VCodMunicipio=110030,1100307474652,11,110030,53ff407f89f4ef2034493ad8
SESI,6388264,03783989000579,SERVICO SOCIAL DA INDUSTRIA DEP REGIONAL DE RONDONIA,--,JURÍDICA,AV BRIGADEIRO EDUARDO GOMES,1425,069-33212894,,BELA VISTA,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,SERVIÇO SOCIAL AUTONOMO,INDIVIDUAL,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306388264&VEstado=11&VCodMunicipio=110030,1100306388264,11,110030,53ff407f89f4ef2034493ad9
SESAI,7534256,,SESAI SECRETARIA ESPECIAL DE SAUDE INDIGENA,--,JURÍDICA,AVENIDA 7 DE SETEMBRO,3105,69 3321-4725,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,UNIDADE DE ATENCAO A SAUDE INDIGENA,POLO-BASE TIPO I,FEDERAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100307534256&VEstado=11&VCodMunicipio=110030,1100307534256,11,110030,53ff408089f4ef2034493ada
SECRETARIA MUNICIPAL DE SAUDE DE VILHENA,6903614,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,CENTRO ADM SENADOR DR TEOTONIO VILELA,S/N,69 3321-4338,,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306903614&VEstado=11&VCodMunicipio=110030,1100306903614,11,110030,53ff408089f4ef2034493adb
SAE CTA DE VILHENA VIVIANE MAGALHAES ELIAS QUIJADA,3445429,,PREFEITURA MUNICIPAL DE VILHENA,--,JURÍDICA,RUA PORTO VELHO,178,69 3322-4216,,5 BEC,76980000,VILHENA - IBGE - 110030,RO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100303445429&VEstado=11&VCodMunicipio=110030,1100303445429,11,110030,53ff408089f4ef2034493adc
RUMOR E VIEIRA ME LTDA,3743233,06309667000157,RUMOR E VIEIRA ME LTDA,--,JURÍDICA,AVENIDA PRESIDENTE NASSER,569,069-33213677,,JARDIM AMERICA,76980000,VILHENA - IBGE - 110030,RO,UNIDADE DE APOIO DIAGNOSE E TERAPIA (SADT ISOLADO),,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,296/2013,SMS,07/05/2013,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100303743233&VEstado=11&VCodMunicipio=110030,1100303743233,11,110030,53ff408189f4ef2034493add
RUI JOSE VEIT,6000649,,RUI JOSE VEIT,--,FÍSICA,AV MAJOR AMARANTE,2627,69 3321-3232,,CENTRO,76980000,VILHENA - IBGE - 110030,RO,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,SERVIÇO SOCIAL AUTONOMO,INDIVIDUAL,500722,SMS,05/05/2008,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1100306000649&VEstado=11&VCodMunicipio=110030,1100306000649,11,110030,53ff408189f4ef2034493ade
