Nome,CNES,CNPJ,Nome Empresarial,CPF,Personalidade,Logradouro,Número,Telefone,Complemento,Bairro,CEP,Município,UF,Tipo Estabelecimento,Sub Tipo Estabelecimento,Esfera Administrativa,Gestão,Natureza da Organização,Dependência,Número Alvará,Órgão Expedidor,Data Expedição,url,VCo_Unidade,VEstado,VCodMunicipio,_id
UNIDADE DE SAUDE DA FAMILIA ANTONIA SOBRINHO,6489001,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,PA 151 COLONIA NOVA,S/N,,,ZONA RURAL,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500106489001&VEstado=15&VCodMunicipio=150010,1500106489001,15,150010,5407dc7c19decc6328e02a47
UNIDADE DE SAUDE DA FAMILIA DA AVIACAO,5872502,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,IV RUA DO CAMPO DA AVIACAO,S/N,,CEPAL,AVIACAO,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500105872502&VEstado=15&VCodMunicipio=150010,1500105872502,15,150010,5407dc7c19decc6328e02a48
UNIDADE DE SAUDE DA FAMILIA ARUMANDUBA,4005430,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO ARUMANDUBA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005430&VEstado=15&VCodMunicipio=150010,1500104005430,15,150010,5407dc7d19decc6328e02a49
SAMU SERVICO MOVEL DE URGENCIA E EMERGENCIA ABAETETUBA,7217145,,SECRETARIA MUNICIPAL DE SAUDE DE ABAETETUBA,--,JURÍDICA,RUA BARAO DO RIO BRANCO,1232,,,ALGODOAL,68440000,ABAETETUBA - IBGE - 150010,PA,UNIDADE MOVEL DE NIVEL PRE-HOSPITALAR NA AREA DE URGENCIA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500107217145&VEstado=15&VCodMunicipio=150010,1500107217145,15,150010,5407dc7e8807b07328c446e1
UNIDADE BASICA DE SAUDE DO ITACURUCA,7422946,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RAMAL DO ITACURUCA,S/N,,,ZONA RURAL ESTRADAS,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500107422946&VEstado=15&VCodMunicipio=150010,1500107422946,15,150010,5407dc7e8807b07328c446e2
SORRIA TRATAMENTOS ODONTOLOGICOS,6853986,12676187000127,R B NERI ME,--,JURÍDICA,RUA LAURO SODRE,1513,(91) 3751-2782,,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,CONSULTORIO ISOLADO,,PRIVADA,MUNICIPAL,EMPRESA PRIVADA,INDIVIDUAL,112,SMS,12/08/2011,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500106853986&VEstado=15&VCodMunicipio=150010,1500106853986,15,150010,5407dc7e8807b07328c446e3
SECRETARIA MUNICIPAL DE SAUDE DE ABAETETUBA,6533655,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RUA BARAO DO RIO BRANCO,1232,37512003,,ALGODOAL,68440000,ABAETETUBA - IBGE - 150010,PA,SECRETARIA DE SAUDE,MUNICIPAL/SEDE,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500106533655&VEstado=15&VCodMunicipio=150010,1500106533655,15,150010,5407dc7e8807b07328c446e4
UNIDADE DE SAUDE DA FAMILIA DO SAO SEBASTIAO,6489036,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RUA BENEDITO SENA DOS PASSOS,S/N,,,SAO SEBASTIAO,68440000,ABAETETUBA - IBGE - 150010,PA,CENTRO DE SAUDE/UNIDADE BASICA,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500106489036&VEstado=15&VCodMunicipio=150010,1500106489036,15,150010,5407dc7e8807b07328c446e5
POSTO DE SAUDE XINGU,4005406,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIU XINGU,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005406&VEstado=15&VCodMunicipio=150010,1500104005406,15,150010,5407dc7f8807b07328c446e6
POSTO DE SAUDE URUBUEUA FATIMA,4005392,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO URUBUEUA,S/N,(91)37512003,ZONA ZURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005392&VEstado=15&VCodMunicipio=150010,1500104005392,15,150010,5407dc7f8807b07328c446e7
POSTO DE SAUDE URUBUEUA CABECEIRA,4005422,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO URUBUEUA CABECEIRA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005422&VEstado=15&VCodMunicipio=150010,1500104005422,15,150010,5407dc7f8807b07328c446e8
POSTO DE SAUDE TUCUMANDUBAZINHO,4005384,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VILA TUCUMANDUBAZINHO,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005384&VEstado=15&VCodMunicipio=150010,1500104005384,15,150010,5407dc7f8807b07328c446e9
POSTO SAUDE VILA DE BEJA,4005201,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VILA DE BEJA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005201&VEstado=15&VCodMunicipio=150010,1500104005201,15,150010,5407dc7f8807b07328c446ea
POSTO DE SAUDE RIO QUIANDUBA,4005481,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO QUIANDUBA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005481&VEstado=15&VCodMunicipio=150010,1500104005481,15,150010,5407dc808807b07328c446eb
POSTO DE SAUDE TAUERA ACU,4005376,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO TAUERA ACU,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005376&VEstado=15&VCodMunicipio=150010,1500104005376,15,150010,5407dc808807b07328c446ec
POSTO DE SAUDE RIO SAPUCAJUBA,4005473,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO SAPUCAJUBA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005473&VEstado=15&VCodMunicipio=150010,1500104005473,15,150010,5407dc808807b07328c446ed
POSTO DE SAUDE TUCUMANDUBA,4005333,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO TUCUMANDUBA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005333&VEstado=15&VCodMunicipio=150010,1500104005333,15,150010,5407dc808807b07328c446ee
POSTO DE SAUDE SAO JOSE,4005368,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO MARACAPUCU,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005368&VEstado=15&VCodMunicipio=150010,1500104005368,15,150010,5407dc808807b07328c446ef
POSTO DE SAUDE RIO DOCE,3097722,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO DOCE,S/N,,ILHAS,ZONA RURAL,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500103097722&VEstado=15&VCodMunicipio=150010,1500103097722,15,150010,5407dc808807b07328c446f0
POSTO DE SAUDE PIQUIARANA,4005341,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO PIQUIARANA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005341&VEstado=15&VCodMunicipio=150010,1500104005341,15,150010,5407dc808807b07328c446f1
POSTO DE SAUDE PANACUERA GRANDE,4005414,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO PANACUERA GRANDE,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005414&VEstado=15&VCodMunicipio=150010,1500104005414,15,150010,5407dc808807b07328c446f2
POSTO DE SAUDE RIO JUPARIQUARA,4005503,,PREFEIRURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO JUPARIGUARA,S/N,(61)37512003,,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005503&VEstado=15&VCodMunicipio=150010,1500104005503,15,150010,5407dc818807b07328c446f3
POSTO DE SAUDE MAUBA,4005325,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO MAUBA,S/N,(91)37512003,,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005325&VEstado=15&VCodMunicipio=150010,1500104005325,15,150010,5407dc818807b07328c446f4
POSTO DE SAUDE FURO DA PRAINHA,4005295,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,FURO DA PRAINHA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005295&VEstado=15&VCodMunicipio=150010,1500104005295,15,150010,5407dc828807b07328c446f5
POSTO DE SAUDE MARACAPUCU SANTA MARIA,4005198,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VILA DE MARACAPUCUZINHO,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005198&VEstado=15&VCodMunicipio=150010,1500104005198,15,150010,5407dc828807b07328c446f6
POSTO DE SAUDE FURO GRANDE,4005287,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VILA DE FURO GRANDE,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005287&VEstado=15&VCodMunicipio=150010,1500104005287,15,150010,5407dc828807b07328c446f7
POSTO DE SAUDE ILHA DO CAPIM,4005317,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,ILHA DO CAPIM,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005317&VEstado=15&VCodMunicipio=150010,1500104005317,15,150010,5407dc828807b07328c446f8
POSTO DE SAUDE DE ITACURUCA,4005171,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VILA DE ITACURUCA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005171&VEstado=15&VCodMunicipio=150010,1500104005171,15,150010,5407dc838807b07328c446f9
POSTO DE SAUDE GUAJARA DE BEJA,4005309,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO GUAJARA DE BEJA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005309&VEstado=15&VCodMunicipio=150010,1500104005309,15,150010,5407dc838807b07328c446fa
POSTO DE SAUDE CORACAO DE JESUS,4005279,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VILA DE BOM JESUS,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005279&VEstado=15&VCodMunicipio=150010,1500104005279,15,150010,5407dc838807b07328c446fb
POSTO DE SAUDE CAMPOMPEMA,4005457,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RIO CAMPOMPEMA,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005457&VEstado=15&VCodMunicipio=150010,1500104005457,15,150010,5407dc838807b07328c446fc
POSTO DE SAUDE BAIXO PARURU,4005449,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,BAIXO PARURU,S/N,(91)37512003,ZONA RURAL,CENTRO,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005449&VEstado=15&VCodMunicipio=150010,1500104005449,15,150010,5407dc838807b07328c446fd
POSTO DE SAUDE ALCINA FERREIRA RAMOS CAETE,7361602,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,RAMAL DO CAETE,S/N,,KM 68 ALCA VIARIA,ZONA RURAL,68440000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500107361602&VEstado=15&VCodMunicipio=150010,1500107361602,15,150010,5407dc838807b07328c446fe
POSTO DE SAUDE AJUAZINHO,4005163,,PREFEITURA MUNICIPAL DE ABAETETUBA,--,JURÍDICA,VILA DE GUAJARA,S/N,,,CENTRO,68444000,ABAETETUBA - IBGE - 150010,PA,POSTO DE SAUDE,,MUNICIPAL,MUNICIPAL,ADMINISTRACAO DIRETA DA SAUDE (MS,SES e SMS),MANTIDA,,,,http://cnes.datasus.gov.br/Exibe_Ficha_Estabelecimento.asp?VCo_Unidade=1500104005163&VEstado=15&VCodMunicipio=150010,1500104005163,15,150010,5407dc848807b07328c446ff
